EC-Lab ASCII FILE
Nb header lines : 55                          

Linear Polarization

Run on channel : 2 (SN 25892)
User : 
CE vs. WE compliance from -10 V to 10 V
Electrode connection : standard
Ewe ctrl range : min = -10,00 V, max = 10,00 V
Safety Limits :
	Do not start on E overload
Acquisition started on : 10.08.2018 15:01:16
Saved on :
	File : 1.4571_plasma.mpr
	Directory : D:\VLK\2018\Probe MPAL40\
	Host : 172.16.12.5
Device : VSP (SN 1524)
Address : USB
EC-Lab for windows v10.44 (software)
Internet server v10.44 (firmware)
Command interpretor v10.44 (firmware)
Electrode material : 
Initial state : 
Electrolyte : 
Comments : 
Electrode surface area : 0,001 cm²
Characteristic mass : 0,001 g
Equivalent Weight : 0,000 g/eq.
Density : 0,000 g/cm3
tR (h:m:s)          0:00:0,0000         
dER/dt (mV/h)       0,0                 
dER (mV)            0                   
dtR (s)             1,0000              
dE/dt               0,100               
dE/dt unit          mV/s                
Ei (V)              -0,300              
vs.                 Ref                 
EL (V)              1,500               
vs.                 Ref                 
record              I                   
dI                  0,000               
unit dI             µA                  
tI (s)              2,0000              
step percent        25                  
N                   5                   
E range min (V)     -10,000             
E range max (V)     10,000              
I Range             Auto                
I Range min         Unset               
I Range max         Unset               
I Range init        Unset               
Bandwidth           5                   

mode	ox/red	error	control changes	time/s	control/V	Ewe/V	I/mA	P/W
2	1	0	1	1,999999949475750E-004	-3,0022159E-001	6,3409799E-001	0,0000000E+000	0,0000000E+000
2	1	0	1	2,000399949465645E+000	-3,0006787E-001	-3,0064803E-001	-1,8246095E-001	5,4856526E-005
2	1	0	0	4,000399898941396E+000	-2,9975995E-001	-3,0045697E-001	-1,5440653E-001	4,6392521E-005
2	1	0	1	6,000399848417146E+000	-2,9975995E-001	-3,0045697E-001	-1,4167421E-001	4,2567004E-005
2	1	0	0	8,000399797892896E+000	-2,9945201E-001	-2,9996029E-001	-1,3289964E-001	3,9864615E-005
2	1	0	1	1,000039974736865E+001	-2,9914406E-001	-2,9971194E-001	-1,2437323E-001	3,7276142E-005
2	1	0	1	1,200039969684440E+001	-2,9914406E-001	-2,9975015E-001	-1,2096267E-001	3,6258578E-005
2	1	0	0	1,400039964632015E+001	-2,9883611E-001	-2,9942539E-001	-1,1400156E-001	3,4134962E-005
2	1	0	1	1,600039959579590E+001	-2,9852819E-001	-2,9911971E-001	-1,1844293E-001	3,5428617E-005
2	1	0	0	1,800039954527165E+001	-2,9852819E-001	-2,9917702E-001	-1,1681399E-001	3,4948062E-005
2	1	0	1	2,000039949474740E+001	-2,9822025E-001	-2,9887137E-001	-1,1526143E-001	3,4448341E-005
2	1	0	0	2,200039944422315E+001	-2,9791230E-001	-2,9852751E-001	-1,0906388E-001	3,2558568E-005
2	1	0	1	2,400039939369890E+001	-2,9791230E-001	-2,9860392E-001	-1,0856757E-001	3,2418702E-005
2	1	0	0	2,600039934317465E+001	-2,9760435E-001	-2,9824096E-001	-1,0794400E-001	3,2193322E-005
2	1	0	0	2,800039929265040E+001	-2,9729643E-001	-2,9785886E-001	-1,0782310E-001	3,2116066E-005
2	1	0	1	3,000039924212615E+001	-2,9729643E-001	-2,9785886E-001	-1,0758767E-001	3,2045940E-005
2	1	0	0	3,200039919160190E+001	-2,9698849E-001	-2,9764873E-001	-1,0715498E-001	3,1894542E-005
2	1	0	1	3,400039914107765E+001	-2,9668054E-001	-2,9724756E-001	-1,0676048E-001	3,1734293E-005
2	1	0	0	3,600039909055340E+001	-2,9668054E-001	-2,9722846E-001	-1,0646141E-001	3,1643362E-005
2	1	0	1	3,800039904002915E+001	-2,9637259E-001	-2,9690370E-001	-1,0563423E-001	3,1363194E-005
2	1	0	0	4,000039898950490E+001	-2,9637259E-001	-2,9709473E-001	-1,0426619E-001	3,0976935E-005
2	1	0	1	4,200039893898065E+001	-2,9606467E-001	-2,9669356E-001	-1,0454616E-001	3,1018171E-005
2	1	0	0	4,400039888845640E+001	-2,9575673E-001	-2,9642609E-001	-1,0354717E-001	3,0694082E-005
2	1	0	0	4,600039883793215E+001	-2,9575673E-001	-2,9631147E-001	-1,0330537E-001	3,0610565E-005
2	1	0	1	4,800039878740790E+001	-2,9544878E-001	-2,9615864E-001	-1,0367443E-001	3,0704079E-005
2	1	0	0	5,000039873688365E+001	-2,9514083E-001	-2,9568106E-001	-1,0991016E-001	3,2498352E-005
2	1	0	1	5,200039868635940E+001	-2,9514083E-001	-2,9579568E-001	-1,0356626E-001	3,0634452E-005
2	1	0	0	5,400039863583515E+001	-2,9483292E-001	-2,9547092E-001	-1,0403712E-001	3,0739946E-005
2	1	0	1	5,600039858531090E+001	-2,9452497E-001	-2,9512703E-001	-1,0588239E-001	3,1248757E-005
2	1	0	0	5,800039853478665E+001	-2,9452497E-001	-2,9518434E-001	-1,0599693E-001	3,1288633E-005
2	1	0	1	6,000039848426241E+001	-2,9421702E-001	-2,9482138E-001	-1,0646778E-001	3,1388976E-005
2	1	0	0	6,200039843373816E+001	-2,9390907E-001	-2,9442021E-001	-1,0779765E-001	3,1737807E-005
2	1	0	0	6,400039838321391E+001	-2,9390907E-001	-2,9457304E-001	-1,0595238E-001	3,1210715E-005
2	1	0	1	6,600039833268966E+001	-2,9360116E-001	-2,9417187E-001	-1,0653141E-001	3,1338546E-005
2	1	0	0	6,800039828216541E+001	-2,9329321E-001	-2,9388529E-001	-1,0656323E-001	3,1317366E-005
2	1	0	1	7,000039823164116E+001	-2,9329321E-001	-2,9396170E-001	-1,0695137E-001	3,1439606E-005
2	1	0	0	7,200039818111691E+001	-2,9298526E-001	-2,9350322E-001	-1,0711044E-001	3,1437259E-005
2	1	0	1	7,400039813059266E+001	-2,9267731E-001	-2,9323578E-001	-1,0727588E-001	3,1457126E-005
2	1	0	0	7,600039808006841E+001	-2,9267731E-001	-2,9323578E-001	-1,0757494E-001	3,1544820E-005
2	1	0	1	7,800039802954416E+001	-2,9236937E-001	-2,9283458E-001	-1,0770856E-001	3,1540789E-005
2	1	0	0	8,000039797901991E+001	-2,9236937E-001	-2,9302564E-001	-1,0786764E-001	3,1607986E-005
2	1	0	0	8,200039792849566E+001	-2,9206145E-001	-2,9271996E-001	-1,0789309E-001	3,1582462E-005
2	1	0	1	8,400039787797141E+001	-2,9175350E-001	-2,9237610E-001	-1,0791218E-001	3,1550942E-005
2	1	0	0	8,600039782744716E+001	-2,9175350E-001	-2,9229969E-001	-1,0829396E-001	3,1654290E-005
